Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return,0
178.0,2010-09-17,MA5&MA10^MA5&MA15,1.0,18.9720058441,46000.0,,,
179.0,2010-09-21,MA5&MA10^MA5&MA15,-1.0,18.5531978607,46000.0,-1015.0,-0.0220652173913043,
394.0,2010-09-24,MA10&MA15^MACD,1.0,18.0506286621,8000.0,,,
52.0,2010-09-27,CCI^STOCH,1.0,18.2181510925,17000.0,,,
395.0,2010-09-28,MA10&MA15^MACD,-1.0,18.343793869,8000.0,129.0,0.016125,
53.0,2010-09-29,CCI^STOCH,-1.0,18.5950775146,17000.0,351.0,0.0206470588235294,
180.0,2010-10-04,MA5&MA10^MA5&MA15,1.0,18.5531978607,46000.0,,,
181.0,2010-10-05,MA5&MA10^MA5&MA15,-1.0,19.265171051,46000.0,1765.0,0.0383695652173913,
396.0,2010-10-07,MA10&MA15^MACD,1.0,19.265171051,8000.0,,,
397.0,2010-10-08,MA10&MA15^MACD,-1.0,18.8463630676,8000.0,-173.0,-0.021625,
54.0,2010-10-14,CCI^STOCH,1.0,18.8463630676,17000.0,,,
280.0,2010-10-21,MA5&MA15^MA5&MA15,1.0,19.516456604,26000.0,,,
182.0,2010-10-21,MA5&MA10^MA5&MA15,1.0,19.516456604,46000.0,,,
55.0,2010-10-21,CCI^STOCH,-1.0,19.516456604,17000.0,604.0,0.0355294117647058,
398.0,2010-10-25,MA10&MA15^MACD,1.0,20.7728805542,8000.0,,,
183.0,2010-10-25,MA5&MA10^MA5&MA15,-1.0,20.7728805542,46000.0,2961.0,0.0643695652173913,
281.0,2010-10-25,MA5&MA15^MA5&MA15,-1.0,20.7728805542,26000.0,1673.0,0.0643461538461538,
399.0,2010-10-27,MA10&MA15^MACD,-1.0,21.3173313141,8000.0,209.0,0.026125,
56.0,2010-11-19,CCI^STOCH,1.0,20.8147602081,17000.0,,,
184.0,2010-11-22,MA5&MA10^MA5&MA15,1.0,21.9036617279,46000.0,,,
57.0,2010-11-22,CCI^STOCH,-1.0,21.9036617279,17000.0,889.0,0.0522941176470588,
282.0,2010-11-23,MA5&MA15^MA5&MA15,1.0,22.2805900574,26000.0,,,
185.0,2010-11-23,MA5&MA10^MA5&MA15,-1.0,22.2805900574,46000.0,791.0,0.017195652173913,
283.0,2010-11-25,MA5&MA15^MA5&MA15,-1.0,22.0293045044,26000.0,-293.0,-0.0112692307692307,
400.0,2010-11-25,MA10&MA15^MACD,1.0,22.0293045044,8000.0,,,
401.0,2010-11-26,MA10&MA15^MACD,-1.0,21.2335681915,8000.0,-288.0,-0.036,
186.0,2010-12-08,MA5&MA10^MA5&MA15,1.0,21.3592128754,46000.0,,,
187.0,2010-12-09,MA5&MA10^MA5&MA15,-1.0,21.6523761749,46000.0,631.0,0.0137173913043478,
58.0,2010-12-10,CCI^STOCH,1.0,21.861782074,17000.0,,,
59.0,2010-12-13,CCI^STOCH,-1.0,22.1130657196,17000.0,195.0,0.0114705882352941,
284.0,2010-12-13,MA5&MA15^MA5&MA15,1.0,22.1130657196,26000.0,,,
402.0,2010-12-14,MA10&MA15^MACD,1.0,22.2387084961,8000.0,,,
285.0,2010-12-16,MA5&MA15^MA5&MA15,-1.0,22.6156368256,26000.0,590.0,0.0226923076923076,
403.0,2010-12-16,MA10&MA15^MACD,-1.0,22.6156368256,8000.0,135.0,0.016875,
188.0,2011-01-13,MA5&MA10^MA5&MA15,1.0,26.1336231232,46000.0,,,
189.0,2011-01-14,MA5&MA10^MA5&MA15,-1.0,25.0447235107,46000.0,-1916.0,-0.0416521739130434,
60.0,2011-01-26,CCI^STOCH,1.0,25.128484726,17000.0,,,
190.0,2011-01-27,MA5&MA10^MA5&MA15,1.0,25.5472927094,46000.0,,,
61.0,2011-01-27,CCI^STOCH,-1.0,25.5472927094,17000.0,283.0,0.0166470588235294,
286.0,2011-01-28,MA5&MA15^MA5&MA15,1.0,25.5472927094,26000.0,,,
287.0,2011-02-08,MA5&MA15^MA5&MA15,-1.0,25.0447235107,26000.0,-511.0,-0.0196538461538461,
191.0,2011-02-08,MA5&MA10^MA5&MA15,-1.0,25.0447235107,46000.0,-904.0,-0.0196521739130434,
404.0,2011-02-11,MA10&MA15^MACD,1.0,23.5370140076,8000.0,,,
405.0,2011-02-14,MA10&MA15^MACD,-1.0,24.7934379578,8000.0,427.0,0.053375,
