Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return,0,1,2,3,4,5,6
178.0,2010-09-17,MA5&MA10^MA5&MA15,1.0,18.9720058441,18000.0,,,,,,,,,
179.0,2010-09-21,MA5&MA10^MA5&MA15,-1.0,18.5531978607,18000.0,-397.0,-0.0220555555555555,,,,,,,
478.0,2010-09-24,MA10&MA15^MA5&MA30,1.0,18.0506286621,27500.000000000004,,,,,,,,,
52.0,2010-09-27,CCI^STOCH,1.0,18.2181510925,12000.0,,,,,,,,,
479.0,2010-09-28,MA10&MA15^MA5&MA30,-1.0,18.343793869,27500.000000000004,446.0,0.0162181818181818,,,,,,,
53.0,2010-09-29,CCI^STOCH,-1.0,18.5950775146,12000.0,248.0,0.0206666666666666,,,,,,,
180.0,2010-10-04,MA5&MA10^MA5&MA15,1.0,18.5531978607,18000.0,,,,,,,,,
181.0,2010-10-05,MA5&MA10^MA5&MA15,-1.0,19.265171051,18000.0,690.0,0.0383333333333333,,,,,,,
480.0,2010-10-07,MA10&MA15^MA5&MA30,1.0,19.265171051,27500.000000000004,,,,,,,,,
481.0,2010-10-08,MA10&MA15^MA5&MA30,-1.0,18.8463630676,27500.000000000004,-597.0,-0.0217090909090909,,,,,,,
54.0,2010-10-14,CCI^STOCH,1.0,18.8463630676,12000.0,,,,,,,,,
356.0,2010-10-21,MA5&MA15^MA10&MA30,1.0,19.516456604,14000.000000000002,,,,,,,,,
55.0,2010-10-21,CCI^STOCH,-1.0,19.516456604,12000.0,426.0,0.0355,,,,,,,
182.0,2010-10-21,MA5&MA10^MA5&MA15,1.0,19.516456604,18000.0,,,,,,,,,
357.0,2010-10-25,MA5&MA15^MA10&MA30,-1.0,20.7728805542,14000.000000000002,901.0,0.0643571428571428,,,,,,,
183.0,2010-10-25,MA5&MA10^MA5&MA15,-1.0,20.7728805542,18000.0,1158.0,0.0643333333333333,,,,,,,
482.0,2010-10-25,MA10&MA15^MA5&MA30,1.0,20.7728805542,27500.000000000004,,,,,,,,,
483.0,2010-10-27,MA10&MA15^MA5&MA30,-1.0,21.3173313141,27500.000000000004,720.0,0.0261818181818181,,,,,,,
56.0,2010-11-19,CCI^STOCH,1.0,20.8147602081,12000.0,,,,,,,,,
184.0,2010-11-22,MA5&MA10^MA5&MA15,1.0,21.9036617279,18000.0,,,,,,,,,
57.0,2010-11-22,CCI^STOCH,-1.0,21.9036617279,12000.0,627.0,0.05225,,,,,,,
185.0,2010-11-23,MA5&MA10^MA5&MA15,-1.0,22.2805900574,18000.0,309.0,0.0171666666666666,,,,,,,
358.0,2010-11-23,MA5&MA15^MA10&MA30,1.0,22.2805900574,14000.000000000002,,,,,,,,,
484.0,2010-11-25,MA10&MA15^MA5&MA30,1.0,22.0293045044,27500.000000000004,,,,,,,,,
359.0,2010-11-25,MA5&MA15^MA10&MA30,-1.0,22.0293045044,14000.000000000002,-157.0,-0.0112142857142857,,,,,,,
485.0,2010-11-26,MA10&MA15^MA5&MA30,-1.0,21.2335681915,27500.000000000004,-993.0,-0.0361090909090909,,,,,,,
186.0,2010-12-08,MA5&MA10^MA5&MA15,1.0,21.3592128754,18000.0,,,,,,,,,
187.0,2010-12-09,MA5&MA10^MA5&MA15,-1.0,21.6523761749,18000.0,247.0,0.0137222222222222,,,,,,,
58.0,2010-12-10,CCI^STOCH,1.0,21.861782074,12000.0,,,,,,,,,
360.0,2010-12-13,MA5&MA15^MA10&MA30,1.0,22.1130657196,14000.000000000002,,,,,,,,,
59.0,2010-12-13,CCI^STOCH,-1.0,22.1130657196,12000.0,137.0,0.0114166666666666,,,,,,,
486.0,2010-12-14,MA10&MA15^MA5&MA30,1.0,22.2387084961,27500.000000000004,,,,,,,,,
487.0,2010-12-16,MA10&MA15^MA5&MA30,-1.0,22.6156368256,27500.000000000004,466.0,0.0169454545454545,,,,,,,
361.0,2010-12-16,MA5&MA15^MA10&MA30,-1.0,22.6156368256,14000.000000000002,318.0,0.0227142857142857,,,,,,,
188.0,2011-01-13,MA5&MA10^MA5&MA15,1.0,26.1336231232,18000.0,,,,,,,,,
189.0,2011-01-14,MA5&MA10^MA5&MA15,-1.0,25.0447235107,18000.0,-749.0,-0.0416111111111111,,,,,,,
60.0,2011-01-26,CCI^STOCH,1.0,25.128484726,12000.0,,,,,,,,,
190.0,2011-01-27,MA5&MA10^MA5&MA15,1.0,25.5472927094,18000.0,,,,,,,,,
61.0,2011-01-27,CCI^STOCH,-1.0,25.5472927094,12000.0,199.0,0.0165833333333333,,,,,,,
362.0,2011-01-28,MA5&MA15^MA10&MA30,1.0,25.5472927094,14000.000000000002,,,,,,,,,
191.0,2011-02-08,MA5&MA10^MA5&MA15,-1.0,25.0447235107,18000.0,-354.0,-0.0196666666666666,,,,,,,
363.0,2011-02-08,MA5&MA15^MA10&MA30,-1.0,25.0447235107,14000.000000000002,-275.0,-0.0196428571428571,,,,,,,
488.0,2011-02-11,MA10&MA15^MA5&MA30,1.0,23.5370140076,27500.000000000004,,,,,,,,,
489.0,2011-02-14,MA10&MA15^MA5&MA30,-1.0,24.7934379578,27500.000000000004,1467.0,0.0533454545454545,,,,,,,
192.0,2011-03-04,MA5&MA10^MA5&MA15,1.0,22.4481124878,18000.0,,,,,,,,,
193.0,2011-03-07,MA5&MA10^MA5&MA15,-1.0,21.3592128754,18000.0,-873.0,-0.0485,,,,,,,
62.0,2011-03-23,CCI^STOCH,1.0,20.5634765625,12000.0,,,,,,,,,
194.0,2011-03-23,MA5&MA10^MA5&MA15,1.0,20.5634765625,18000.0,,,,,,,,,
