Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return,0
316.0,2010-09-24,MA10&MA15^MA5&MA30,1.0,18.0506286621,26000.0,,,
240.0,2010-10-21,MA5&MA15^MA10&MA30,1.0,19.516456604,46000.0,,,
317.0,2010-11-16,MA10&MA15^MA5&MA30,-1.0,19.4745750427,26000.0,2051.0,0.0788846153846153,
318.0,2010-11-25,MA10&MA15^MA5&MA30,1.0,22.0293045044,26000.0,,,
362.0,2010-12-03,MA15&MA30^STOCH,1.0,21.3592128754,17000.0,,,
374.0,2010-12-03,MA15&MA30^MA5&MA15,1.0,21.3592128754,8000.0,,,
375.0,2010-12-09,MA15&MA30^MA5&MA15,-1.0,21.6523761749,8000.0,109.0,0.013625,
363.0,2011-01-14,MA15&MA30^STOCH,-1.0,25.0447235107,17000.0,2933.0,0.1725294117647058,
241.0,2011-02-10,MA5&MA15^MA10&MA30,-1.0,24.835319519,46000.0,12536.0,0.2725217391304347,
319.0,2011-02-11,MA10&MA15^MA5&MA30,-1.0,23.5370140076,26000.0,1779.0,0.0684230769230769,
242.0,2011-03-25,MA5&MA15^MA10&MA30,1.0,20.689119339,46000.0,,,
320.0,2011-03-30,MA10&MA15^MA5&MA30,1.0,20.7728805542,26000.0,,,
376.0,2011-04-14,MA15&MA30^MA5&MA15,1.0,21.6942577362,8000.0,,,
364.0,2011-04-14,MA15&MA30^STOCH,1.0,21.6942577362,17000.0,,,
365.0,2011-04-27,MA15&MA30^STOCH,-1.0,22.9088020325,17000.0,951.0,0.0559411764705882,
377.0,2011-05-16,MA15&MA30^MA5&MA15,-1.0,22.2805900574,8000.0,216.0,0.027,
321.0,2011-05-20,MA10&MA15^MA5&MA30,-1.0,21.3592128754,26000.0,733.0,0.0281923076923076,
243.0,2011-05-24,MA5&MA15^MA10&MA30,-1.0,21.5686168671,46000.0,1955.0,0.0425,
244.0,2011-06-02,MA5&MA15^MA10&MA30,1.0,21.4429721832,46000.0,,,
322.0,2011-06-09,MA10&MA15^MA5&MA30,1.0,21.0241641998,26000.0,,,
366.0,2011-10-17,MA15&MA30^STOCH,1.0,15.7093477249,17000.0,,,
378.0,2011-10-17,MA15&MA30^MA5&MA15,1.0,15.7093477249,8000.0,,,
367.0,2011-10-20,MA15&MA30^STOCH,-1.0,15.4790058136,17000.0,-249.0,-0.0146470588235294,
379.0,2011-10-31,MA15&MA30^MA5&MA15,-1.0,15.2947320938,8000.0,-211.0,-0.026375,
323.0,2011-11-10,MA10&MA15^MA5&MA30,-1.0,14.0048151016,26000.0,-8680.0,-0.3338461538461538,
245.0,2011-11-14,MA5&MA15^MA10&MA30,-1.0,14.4654989243,46000.0,-14968.0,-0.3253913043478261,
324.0,2011-12-08,MA10&MA15^MA5&MA30,1.0,13.7284040451,26000.0,,,
246.0,2011-12-26,MA5&MA15^MA10&MA30,1.0,13.4980611801,46000.0,,,
368.0,2012-01-02,MA15&MA30^STOCH,1.0,13.9587459564,17000.0,,,
380.0,2012-01-02,MA15&MA30^MA5&MA15,1.0,13.9587459564,8000.0,,,
381.0,2012-01-31,MA15&MA30^MA5&MA15,-1.0,15.2486629486,8000.0,739.0,0.092375,
369.0,2012-02-08,MA15&MA30^STOCH,-1.0,17.598154068,17000.0,4432.0,0.2607058823529412,
325.0,2012-03-29,MA10&MA15^MA5&MA30,-1.0,18.3352508545,26000.0,8724.0,0.3355384615384615,
247.0,2012-04-02,MA5&MA15^MA10&MA30,-1.0,18.058839798,46000.0,15542.0,0.3378695652173913,
248.0,2012-05-04,MA5&MA15^MA10&MA30,1.0,17.0914020538,46000.0,,,
326.0,2012-05-07,MA10&MA15^MA5&MA30,1.0,16.6767864227,26000.0,,,
382.0,2012-06-27,MA15&MA30^MA5&MA15,1.0,14.3733615875,8000.0,,,
370.0,2012-06-27,MA15&MA30^STOCH,1.0,14.3733615875,17000.0,,,
371.0,2012-07-06,MA15&MA30^STOCH,-1.0,15.110458374,17000.0,871.0,0.051235294117647,
383.0,2012-07-24,MA15&MA30^MA5&MA15,-1.0,14.649772644,8000.0,153.0,0.019125,
327.0,2012-07-27,MA10&MA15^MA5&MA30,-1.0,14.7419099808,26000.0,-3016.0,-0.116,
328.0,2012-08-06,MA10&MA15^MA5&MA30,1.0,15.9396896362,26000.0,,,
329.0,2012-08-24,MA10&MA15^MA5&MA30,-1.0,15.4790058136,26000.0,-751.0,-0.0288846153846153,
249.0,2012-08-29,MA5&MA15^MA10&MA30,-1.0,15.110458374,46000.0,-5331.0,-0.115891304347826,
250.0,2012-09-18,MA5&MA15^MA10&MA30,1.0,15.3408002853,46000.0,,,
330.0,2012-09-19,MA10&MA15^MA5&MA30,1.0,15.7093477249,26000.0,,,
331.0,2012-09-26,MA10&MA15^MA5&MA30,-1.0,14.4654989243,26000.0,-2058.0,-0.0791538461538461,
251.0,2012-10-01,MA5&MA15^MA10&MA30,-1.0,14.4194307327,46000.0,-2762.0,-0.0600434782608695,
252.0,2012-10-18,MA5&MA15^MA10&MA30,1.0,14.6037054062,46000.0,,,
332.0,2012-10-22,MA10&MA15^MA5&MA30,1.0,14.557636261,26000.0,,,
384.0,2012-11-06,MA15&MA30^MA5&MA15,1.0,15.0183210373,8000.0,,,
372.0,2012-11-06,MA15&MA30^STOCH,1.0,15.0183210373,17000.0,,,
373.0,2012-11-08,MA15&MA30^STOCH,-1.0,15.0183210373,17000.0,0.0,0.0,
385.0,2012-11-15,MA15&MA30^MA5&MA15,-1.0,14.2812252045,8000.0,-392.0,-0.049,
333.0,2012-11-16,MA10&MA15^MA5&MA30,-1.0,14.4654989243,26000.0,-164.0,-0.0063076923076923,
253.0,2012-11-22,MA5&MA15^MA10&MA30,-1.0,14.2812252045,46000.0,-1015.0,-0.0220652173913043,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,100000.0
,,,,,,,,14127.0
,,,,,,,,14127.0
