,Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
32,0,2010-09-27,CCI^STOCH,1,18.2181510925,42500.0,,
33,0,2010-10-28,CCI^STOCH,-1,21.7361392975,42500.0,8206.0,0.1930823529411764
34,0,2010-11-19,CCI^STOCH,1,20.8147602081,42500.0,,
35,0,2010-11-25,CCI^STOCH,-1,22.0293045044,42500.0,2479.0,0.0583294117647058
36,0,2010-12-10,CCI^STOCH,1,21.861782074,42500.0,,
37,0,2011-01-14,CCI^STOCH,-1,25.0447235107,42500.0,6187.0,0.1455764705882353
38,0,2011-01-26,CCI^STOCH,1,25.128484726,42500.0,,
39,0,2011-02-08,CCI^STOCH,-1,25.0447235107,42500.0,-141.0,-0.0033176470588235
40,0,2011-03-23,CCI^STOCH,1,20.5634765625,42500.0,,
41,0,2011-03-24,CCI^STOCH,-1,20.8566417694,42500.0,605.0,0.014235294117647
42,0,2011-05-31,CCI^STOCH,1,22.4062328339,42500.0,,
43,0,2011-06-02,CCI^STOCH,-1,21.4429721832,42500.0,-1827.0,-0.0429882352941176
44,0,2011-07-01,CCI^STOCH,1,19.4326953888,42500.0,,
45,0,2011-08-18,CCI^STOCH,-1,15.2027330399,42500.0,-9251.0,-0.2176705882352941
46,0,2011-08-23,CCI^STOCH,1,15.7471828461,42500.0,,
47,0,2011-10-17,CCI^STOCH,-1,15.7093477249,42500.0,-102.0,-0.0024
48,0,2011-10-27,CCI^STOCH,1,15.4790058136,42500.0,,
49,0,2011-12-28,CCI^STOCH,-1,14.3272943497,42500.0,-3162.0,-0.0744
50,0,2012-01-30,CCI^STOCH,1,14.9722518921,42500.0,,
51,0,2012-02-08,CCI^STOCH,-1,17.598154068,42500.0,7453.0,0.1753647058823529
52,0,2012-03-08,CCI^STOCH,1,19.2105522156,42500.0,,
53,0,2012-06-18,CCI^STOCH,-1,14.3733615875,42500.0,-10701.0,-0.2517882352941176
54,0,2012-07-31,CCI^STOCH,1,15.2025947571,42500.0,,
55,0,2012-08-03,CCI^STOCH,-1,15.4329366684,42500.0,643.0,0.0151294117647058
56,0,2012-09-10,CCI^STOCH,1,15.2025947571,42500.0,,
57,0,2012-10-19,CCI^STOCH,-1,14.649772644,42500.0,-1545.0,-0.0363529411764705
58,0,2012-11-01,CCI^STOCH,1,14.649772644,42500.0,,
59,0,2012-11-08,CCI^STOCH,-1,15.0183210373,42500.0,1069.0,0.0251529411764705
60,0,2012-11-23,CCI^STOCH,1,14.7419099808,42500.0,,
61,0,2012-11-29,CCI^STOCH,-1,15.4329366684,42500.0,1992.0,0.0468705882352941
62,0,2012-12-19,CCI^STOCH,1,16.3082370758,42500.0,,
63,0,2010-09-17,MA5&MA10^STOCH,1,18.9720058441,13500.0,,
64,0,2010-09-20,MA5&MA10^STOCH,-1,18.8463630676,13500.0,-89.0,-0.0065925925925925
65,0,2010-10-04,MA5&MA10^STOCH,1,18.5531978607,13500.0,,
66,0,2010-10-28,MA5&MA10^STOCH,-1,21.7361392975,13500.0,2316.0,0.1715555555555555
67,0,2010-11-22,MA5&MA10^STOCH,1,21.9036617279,13500.0,,
68,0,2010-11-25,MA5&MA10^STOCH,-1,22.0293045044,13500.0,77.0,0.0057037037037037
69,0,2010-12-08,MA5&MA10^STOCH,1,21.3592128754,13500.0,,
70,0,2011-01-14,MA5&MA10^STOCH,-1,25.0447235107,13500.0,2329.0,0.1725185185185185
71,0,2011-01-27,MA5&MA10^STOCH,1,25.5472927094,13500.0,,
72,0,2011-02-08,MA5&MA10^STOCH,-1,25.0447235107,13500.0,-265.0,-0.0196296296296296
73,0,2011-03-04,MA5&MA10^STOCH,1,22.4481124878,13500.0,,
74,0,2011-03-24,MA5&MA10^STOCH,-1,20.8566417694,13500.0,-957.0,-0.0708888888888888
75,0,2011-04-07,MA5&MA10^STOCH,1,21.6523761749,13500.0,,
76,0,2011-04-27,MA5&MA10^STOCH,-1,22.9088020325,13500.0,783.0,0.058
77,0,2011-05-09,MA5&MA10^STOCH,1,23.6626567841,13500.0,,
78,0,2011-06-02,MA5&MA10^STOCH,-1,21.4429721832,13500.0,-1266.0,-0.0937777777777777
79,0,2011-06-30,MA5&MA10^STOCH,1,19.3489322662,13500.0,,
80,0,2011-08-18,MA5&MA10^STOCH,-1,15.2027330399,13500.0,-2892.0,-0.2142222222222222
81,0,2011-09-30,MA5&MA10^STOCH,1,14.3733615875,13500.0,,
82,0,2011-10-17,MA5&MA10^STOCH,-1,15.7093477249,13500.0,1254.0,0.0928888888888888
83,0,2011-11-02,MA5&MA10^STOCH,1,15.2486629486,13500.0,,
84,0,2011-12-28,MA5&MA10^STOCH,-1,14.3272943497,13500.0,-815.0,-0.0603703703703703
85,0,2012-02-02,MA5&MA10^STOCH,1,16.5846481323,13500.0,,
86,0,2012-02-08,MA5&MA10^STOCH,-1,17.598154068,13500.0,824.0,0.061037037037037
87,0,2012-02-22,MA5&MA10^STOCH,1,18.058839798,13500.0,,
88,0,2012-02-24,MA5&MA10^STOCH,-1,17.9667034149,13500.0,-68.0,-0.005037037037037
89,0,2012-03-14,MA5&MA10^STOCH,1,19.2566204071,13500.0,,
90,0,2012-06-18,MA5&MA10^STOCH,-1,14.3733615875,13500.0,-3423.0,-0.2535555555555555
91,0,2012-07-02,MA5&MA10^STOCH,1,14.8801145554,13500.0,,
92,0,2012-07-06,MA5&MA10^STOCH,-1,15.110458374,13500.0,208.0,0.0154074074074074
93,0,2012-07-19,MA5&MA10^STOCH,1,15.110458374,13500.0,,
94,0,2012-08-03,MA5&MA10^STOCH,-1,15.4329366684,13500.0,288.0,0.0213333333333333
95,0,2012-09-13,MA5&MA10^STOCH,1,14.6037054062,13500.0,,
96,0,2012-10-19,MA5&MA10^STOCH,-1,14.649772644,13500.0,42.0,0.0031111111111111
97,0,2012-11-02,MA5&MA10^STOCH,1,14.8340473175,13500.0,,
98,0,2012-11-08,MA5&MA10^STOCH,-1,15.0183210373,13500.0,167.0,0.0123703703703703
99,0,2012-11-23,MA5&MA10^STOCH,1,14.7419099808,13500.0,,
100,0,2012-11-29,MA5&MA10^STOCH,-1,15.4329366684,13500.0,632.0,0.0468148148148148
101,0,2012-12-28,MA5&MA10^STOCH,1,15.9857587814,13500.0,,
297,0,2010-09-24,MA10&MA15^STOCH,1,18.0506286621,10000.0,,
298,0,2010-10-28,MA10&MA15^STOCH,-1,21.7361392975,10000.0,2041.0,0.2041
299,0,2010-11-25,MA10&MA15^STOCH,1,22.0293045044,10000.0,,
300,0,2011-01-14,MA10&MA15^STOCH,-1,25.0447235107,10000.0,1368.0,0.1368
301,0,2011-02-11,MA10&MA15^STOCH,1,23.5370140076,10000.0,,
302,0,2011-03-24,MA10&MA15^STOCH,-1,20.8566417694,10000.0,-1138.0,-0.1138
303,0,2011-03-30,MA10&MA15^STOCH,1,20.7728805542,10000.0,,
304,0,2011-04-27,MA10&MA15^STOCH,-1,22.9088020325,10000.0,1028.0,0.1028
305,0,2011-06-09,MA10&MA15^STOCH,1,21.0241641998,10000.0,,
306,0,2011-08-18,MA10&MA15^STOCH,-1,15.2027330399,10000.0,-2768.0,-0.2768
307,0,2011-08-24,MA10&MA15^STOCH,1,15.4121370316,10000.0,,
308,0,2011-10-17,MA10&MA15^STOCH,-1,15.7093477249,10000.0,192.0,0.0192
309,0,2011-12-08,MA10&MA15^STOCH,1,13.7284040451,10000.0,,
310,0,2011-12-28,MA10&MA15^STOCH,-1,14.3272943497,10000.0,436.0,0.0436
311,0,2011-12-29,MA10&MA15^STOCH,1,14.2812252045,10000.0,,
312,0,2012-02-08,MA10&MA15^STOCH,-1,17.598154068,10000.0,2322.0,0.2322
313,0,2012-03-21,MA10&MA15^STOCH,1,18.9341411591,10000.0,,
314,0,2012-06-18,MA10&MA15^STOCH,-1,14.3733615875,10000.0,-2408.0,-0.2408
315,0,2012-08-06,MA10&MA15^STOCH,1,15.9396896362,10000.0,,
316,0,2012-08-09,MA10&MA15^STOCH,-1,16.4003753662,10000.0,289.0,0.0289
317,0,2012-09-19,MA10&MA15^STOCH,1,15.7093477249,10000.0,,
318,0,2012-10-19,MA10&MA15^STOCH,-1,14.649772644,10000.0,-674.0,-0.0674
319,0,2012-10-22,MA10&MA15^STOCH,1,14.557636261,10000.0,,
320,0,2012-11-08,MA10&MA15^STOCH,-1,15.0183210373,10000.0,316.0,0.0316
321,0,2012-11-28,MA10&MA15^STOCH,1,15.1565256119,10000.0,,
322,0,2012-11-29,MA10&MA15^STOCH,-1,15.4329366684,10000.0,182.0,0.0182
342,0,2011-04-13,MA10&MA30^STOCH,1,21.4848537445,9000.0,,
343,0,2011-04-27,MA10&MA30^STOCH,-1,22.9088020325,9000.0,596.0,0.0662222222222222
344,0,2011-10-14,MA10&MA30^STOCH,1,15.3868694305,9000.0,,
345,0,2011-10-17,MA10&MA30^STOCH,-1,15.7093477249,9000.0,188.0,0.0208888888888888
346,0,2011-12-30,MA10&MA30^STOCH,1,14.096950531,9000.0,,
347,0,2012-02-08,MA10&MA30^STOCH,-1,17.598154068,9000.0,2235.0,0.2483333333333333
348,0,2012-06-22,MA10&MA30^STOCH,1,14.2812252045,9000.0,,
349,0,2012-07-06,MA10&MA30^STOCH,-1,15.110458374,9000.0,522.0,0.058
350,0,2012-09-27,MA10&MA30^STOCH,1,14.3733615875,9000.0,,
351,0,2012-10-19,MA10&MA30^STOCH,-1,14.649772644,9000.0,173.0,0.0192222222222222
352,0,2012-11-07,MA10&MA30^STOCH,1,15.0183210373,9000.0,,
353,0,2012-11-08,MA10&MA30^STOCH,-1,15.0183210373,9000.0,0.0,0.0
354,0,2012-11-27,MA10&MA30^STOCH,1,15.2947320938,9000.0,,
355,0,2012-11-29,MA10&MA30^STOCH,-1,15.4329366684,9000.0,81.0,0.009
