,Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
32,0,2010-09-27,CCI^STOCH,1,18.2181510925,42500.0,,
33,0,2010-10-28,CCI^STOCH,-1,21.7361392975,42500.0,8206.0,0.1930823529411764
34,0,2010-11-19,CCI^STOCH,1,20.8147602081,42500.0,,
35,0,2010-11-25,CCI^STOCH,-1,22.0293045044,42500.0,2479.0,0.0583294117647058
36,0,2010-12-10,CCI^STOCH,1,21.861782074,42500.0,,
37,0,2011-01-14,CCI^STOCH,-1,25.0447235107,42500.0,6187.0,0.1455764705882353
38,0,2011-01-26,CCI^STOCH,1,25.128484726,42500.0,,
39,0,2011-02-08,CCI^STOCH,-1,25.0447235107,42500.0,-141.0,-0.0033176470588235
40,0,2011-03-23,CCI^STOCH,1,20.5634765625,42500.0,,
41,0,2011-03-24,CCI^STOCH,-1,20.8566417694,42500.0,605.0,0.014235294117647
42,0,2011-05-31,CCI^STOCH,1,22.4062328339,42500.0,,
43,0,2011-06-02,CCI^STOCH,-1,21.4429721832,42500.0,-1827.0,-0.0429882352941176
44,0,2011-07-01,CCI^STOCH,1,19.4326953888,42500.0,,
45,0,2011-08-18,CCI^STOCH,-1,15.2027330399,42500.0,-9251.0,-0.2176705882352941
46,0,2011-08-23,CCI^STOCH,1,15.7471828461,42500.0,,
47,0,2011-10-17,CCI^STOCH,-1,15.7093477249,42500.0,-102.0,-0.0024
48,0,2011-10-27,CCI^STOCH,1,15.4790058136,42500.0,,
49,0,2011-12-28,CCI^STOCH,-1,14.3272943497,42500.0,-3162.0,-0.0744
50,0,2012-01-30,CCI^STOCH,1,14.9722518921,42500.0,,
51,0,2012-02-08,CCI^STOCH,-1,17.598154068,42500.0,7453.0,0.1753647058823529
52,0,2012-03-08,CCI^STOCH,1,19.2105522156,42500.0,,
53,0,2012-06-18,CCI^STOCH,-1,14.3733615875,42500.0,-10701.0,-0.2517882352941176
54,0,2012-07-31,CCI^STOCH,1,15.2025947571,42500.0,,
55,0,2012-08-03,CCI^STOCH,-1,15.4329366684,42500.0,643.0,0.0151294117647058
56,0,2012-09-10,CCI^STOCH,1,15.2025947571,42500.0,,
57,0,2012-10-19,CCI^STOCH,-1,14.649772644,42500.0,-1545.0,-0.0363529411764705
58,0,2012-11-01,CCI^STOCH,1,14.649772644,42500.0,,
59,0,2012-11-08,CCI^STOCH,-1,15.0183210373,42500.0,1069.0,0.0251529411764705
60,0,2012-11-23,CCI^STOCH,1,14.7419099808,42500.0,,
61,0,2012-11-29,CCI^STOCH,-1,15.4329366684,42500.0,1992.0,0.0468705882352941
62,0,2012-12-19,CCI^STOCH,1,16.3082370758,42500.0,,
323,0,2010-09-24,MA10&MA15^MA5&MA30,1,18.0506286621,13500.0,,
324,0,2010-11-16,MA10&MA15^MA5&MA30,-1,19.4745750427,13500.0,1064.0,0.0788148148148148
325,0,2010-11-25,MA10&MA15^MA5&MA30,1,22.0293045044,13500.0,,
326,0,2011-02-11,MA10&MA15^MA5&MA30,-1,23.5370140076,13500.0,923.0,0.0683703703703703
327,0,2011-03-30,MA10&MA15^MA5&MA30,1,20.7728805542,13500.0,,
328,0,2011-05-20,MA10&MA15^MA5&MA30,-1,21.3592128754,13500.0,381.0,0.0282222222222222
329,0,2011-06-09,MA10&MA15^MA5&MA30,1,21.0241641998,13500.0,,
330,0,2011-11-10,MA10&MA15^MA5&MA30,-1,14.0048151016,13500.0,-4507.0,-0.3338518518518518
331,0,2011-12-08,MA10&MA15^MA5&MA30,1,13.7284040451,13500.0,,
332,0,2012-03-29,MA10&MA15^MA5&MA30,-1,18.3352508545,13500.0,4530.0,0.3355555555555555
333,0,2012-05-07,MA10&MA15^MA5&MA30,1,16.6767864227,13500.0,,
334,0,2012-07-27,MA10&MA15^MA5&MA30,-1,14.7419099808,13500.0,-1566.0,-0.116
335,0,2012-08-06,MA10&MA15^MA5&MA30,1,15.9396896362,13500.0,,
336,0,2012-08-24,MA10&MA15^MA5&MA30,-1,15.4790058136,13500.0,-390.0,-0.0288888888888888
337,0,2012-09-19,MA10&MA15^MA5&MA30,1,15.7093477249,13500.0,,
338,0,2012-09-26,MA10&MA15^MA5&MA30,-1,14.4654989243,13500.0,-1068.0,-0.0791111111111111
339,0,2012-10-22,MA10&MA15^MA5&MA30,1,14.557636261,13500.0,,
340,0,2012-11-16,MA10&MA15^MA5&MA30,-1,14.4654989243,13500.0,-85.0,-0.0062962962962962
341,0,2012-11-28,MA10&MA15^MA5&MA30,1,15.1565256119,13500.0,,
297,0,2010-09-24,MA10&MA15^STOCH,1,18.0506286621,10000.0,,
298,0,2010-10-28,MA10&MA15^STOCH,-1,21.7361392975,10000.0,2041.0,0.2041
299,0,2010-11-25,MA10&MA15^STOCH,1,22.0293045044,10000.0,,
300,0,2011-01-14,MA10&MA15^STOCH,-1,25.0447235107,10000.0,1368.0,0.1368
301,0,2011-02-11,MA10&MA15^STOCH,1,23.5370140076,10000.0,,
302,0,2011-03-24,MA10&MA15^STOCH,-1,20.8566417694,10000.0,-1138.0,-0.1138
303,0,2011-03-30,MA10&MA15^STOCH,1,20.7728805542,10000.0,,
304,0,2011-04-27,MA10&MA15^STOCH,-1,22.9088020325,10000.0,1028.0,0.1028
305,0,2011-06-09,MA10&MA15^STOCH,1,21.0241641998,10000.0,,
306,0,2011-08-18,MA10&MA15^STOCH,-1,15.2027330399,10000.0,-2768.0,-0.2768
307,0,2011-08-24,MA10&MA15^STOCH,1,15.4121370316,10000.0,,
308,0,2011-10-17,MA10&MA15^STOCH,-1,15.7093477249,10000.0,192.0,0.0192
309,0,2011-12-08,MA10&MA15^STOCH,1,13.7284040451,10000.0,,
310,0,2011-12-28,MA10&MA15^STOCH,-1,14.3272943497,10000.0,436.0,0.0436
311,0,2011-12-29,MA10&MA15^STOCH,1,14.2812252045,10000.0,,
312,0,2012-02-08,MA10&MA15^STOCH,-1,17.598154068,10000.0,2322.0,0.2322
313,0,2012-03-21,MA10&MA15^STOCH,1,18.9341411591,10000.0,,
314,0,2012-06-18,MA10&MA15^STOCH,-1,14.3733615875,10000.0,-2408.0,-0.2408
315,0,2012-08-06,MA10&MA15^STOCH,1,15.9396896362,10000.0,,
316,0,2012-08-09,MA10&MA15^STOCH,-1,16.4003753662,10000.0,289.0,0.0289
317,0,2012-09-19,MA10&MA15^STOCH,1,15.7093477249,10000.0,,
318,0,2012-10-19,MA10&MA15^STOCH,-1,14.649772644,10000.0,-674.0,-0.0674
319,0,2012-10-22,MA10&MA15^STOCH,1,14.557636261,10000.0,,
320,0,2012-11-08,MA10&MA15^STOCH,-1,15.0183210373,10000.0,316.0,0.0316
321,0,2012-11-28,MA10&MA15^STOCH,1,15.1565256119,10000.0,,
322,0,2012-11-29,MA10&MA15^STOCH,-1,15.4329366684,10000.0,182.0,0.0182
143,0,2010-10-21,MA5&MA15^STOCH,1,19.516456604,9000.0,,
144,0,2010-10-28,MA5&MA15^STOCH,-1,21.7361392975,9000.0,1023.0,0.1136666666666666
145,0,2010-11-23,MA5&MA15^STOCH,1,22.2805900574,9000.0,,
146,0,2010-11-25,MA5&MA15^STOCH,-1,22.0293045044,9000.0,-101.0,-0.0112222222222222
147,0,2010-12-13,MA5&MA15^STOCH,1,22.1130657196,9000.0,,
148,0,2011-01-14,MA5&MA15^STOCH,-1,25.0447235107,9000.0,1193.0,0.1325555555555555
149,0,2011-01-28,MA5&MA15^STOCH,1,25.5472927094,9000.0,,
150,0,2011-02-08,MA5&MA15^STOCH,-1,25.0447235107,9000.0,-177.0,-0.0196666666666666
151,0,2011-03-25,MA5&MA15^STOCH,1,20.689119339,9000.0,,
152,0,2011-04-27,MA5&MA15^STOCH,-1,22.9088020325,9000.0,965.0,0.1072222222222222
153,0,2011-06-02,MA5&MA15^STOCH,1,21.4429721832,9000.0,,
154,0,2011-08-18,MA5&MA15^STOCH,-1,15.2027330399,9000.0,-2619.0,-0.291
155,0,2011-08-23,MA5&MA15^STOCH,1,15.7471828461,9000.0,,
156,0,2011-10-17,MA5&MA15^STOCH,-1,15.7093477249,9000.0,-21.0,-0.0023333333333333
157,0,2011-12-26,MA5&MA15^STOCH,1,13.4980611801,9000.0,,
158,0,2011-12-28,MA5&MA15^STOCH,-1,14.3272943497,9000.0,552.0,0.0613333333333333
159,0,2012-02-01,MA5&MA15^STOCH,1,16.0318279266,9000.0,,
160,0,2012-02-08,MA5&MA15^STOCH,-1,17.598154068,9000.0,879.0,0.0976666666666666
161,0,2012-05-04,MA5&MA15^STOCH,1,17.0914020538,9000.0,,
162,0,2012-06-18,MA5&MA15^STOCH,-1,14.3733615875,9000.0,-1431.0,-0.159
163,0,2012-08-01,MA5&MA15^STOCH,1,15.6632785797,9000.0,,
164,0,2012-08-03,MA5&MA15^STOCH,-1,15.4329366684,9000.0,-132.0,-0.0146666666666666
165,0,2012-09-18,MA5&MA15^STOCH,1,15.3408002853,9000.0,,
166,0,2012-10-19,MA5&MA15^STOCH,-1,14.649772644,9000.0,-405.0,-0.045
167,0,2012-11-05,MA5&MA15^STOCH,1,15.2025947571,9000.0,,
168,0,2012-11-08,MA5&MA15^STOCH,-1,15.0183210373,9000.0,-109.0,-0.0121111111111111
169,0,2012-11-27,MA5&MA15^STOCH,1,15.2947320938,9000.0,,
170,0,2012-11-29,MA5&MA15^STOCH,-1,15.4329366684,9000.0,81.0,0.009
171,0,2012-12-28,MA5&MA15^STOCH,1,15.9857587814,9000.0,,
